,ID,Name,FDR,Control,IBD,UC,CD
1,Barnesiella,Barnesiella,2.63E-11,1.958594333,-1.879401758,-0.501036176,-3.069808397
2,Alistipes,Alistipes,1.92E-09,5.032272652,3.561048217,3.761142101,3.388239862
3,Clostridium,Clostridium,1.48E-08,3.784951949,4.898366091,4.397489625,5.33094122
4,Coprococcus,Coprococcus,8.46E-08,5.10605992,4.061987886,4.2412675,3.907155493
5,Ruminococcus,Ruminococcus,1.01E-07,2.894649257,-0.351956143,0.517084044,-1.102490849
6,Acidaminococcus,Acidaminococcus,1.11E-06,-2.979250372,-1.552742853,-2.743095869,-0.524710703
7,Leuconostoc,Leuconostoc,3.82E-06,-1.176253496,-0.578119537,-1.110755458,-0.118115788
8,Eubacterium,Eubacterium,4.68E-06,4.440278718,2.671333738,3.646479603,1.829162309
9,Methanobrevibacter,Methanobrevibacter,0.000698877,2.159051501,1.039889497,1.571300434,0.580943688
10,Enterococcus,Enterococcus,0.001623296,-0.727444942,0.297021818,-0.278597533,0.794147621
11,Dorea,Dorea,0.00489583,-3.959844357,-2.605964743,-2.915466196,-2.338668033
12,Lactobacillus,Lactobacillus,0.005518297,1.352148353,2.201910103,1.586484769,2.733413801
13,Pediococcus,Pediococcus,0.009391324,-1.978967273,-1.023183779,-1.459401942,-0.64644991
14,Fusobacterium,Fusobacterium,0.01234981,-2.559860058,-1.865623315,-2.335631587,-1.459707081
15,Anaerostipes,Anaerostipes,0.026399628,-2.351908713,-1.180881886,-1.798082886,-0.647844658
16,Bifidobacterium,Bifidobacterium,0.096869643,3.179486228,3.416571865,4.26206403,2.686374086
17,Veillonella,Veillonella,0.098784938,-2.16644678,-1.251176069,-1.777523466,-0.796603317
18,Blautia,Blautia,0.185715033,-0.162569436,1.171556552,0.835057712,1.462169187
19,Bacteroides,Bacteroides,0.19943669,5.697656985,4.938854936,5.14168958,4.763679562
20,Citrobacter,Citrobacter,0.297166127,-3.175485399,-2.76836824,-3.057615895,-2.518563447
21,Butyricicoccus,Butyricicoccus,0.362009089,-3.611852686,-2.819420247,-2.932405456,-2.721842112
22,Odoribacter,Odoribacter,0.385150326,2.877119955,2.759000465,3.00667067,2.54510347
23,Klebsiella,Klebsiella,0.386160767,-1.867393865,-0.90524794,-1.16348827,-0.682222201
24,Phascolarctobacterium,Phascolarctobacterium,0.408060408,-0.769082953,-1.698053292,-1.66400371,-1.72745975
25,Prevotella,Prevotella,0.49251686,-0.754609312,-2.180287179,-1.745474433,-2.555807278
26,Slackia,Slackia,0.848175258,0.507918318,0.082690256,0.157571099,0.018020438
27,Anaerotruncus,Anaerotruncus,1,0.156924966,-0.263321596,-0.119070915,-0.38790173
28,Bilophila,Bilophila,1,-1.837978647,-2.314144934,-2.289948472,-2.335041879
29,Catenibacterium,Catenibacterium,1,1.608769163,1.637662144,1.62583604,1.647875597
30,Collinsella,Collinsella,1,1.107119948,1.302296009,1.138027326,1.444164416
31,Desulfovibrio,Desulfovibrio,1,-1.491976551,-1.510413121,-1.482640052,-1.534398953
32,Eggerthella,Eggerthella,1,2.192738841,2.409175875,2.390581205,2.425234909
33,Enterobacter,Enterobacter,1,-4.342452968,-4.075449544,-4.271690757,-3.905968496
34,Haemophilus,Haemophilus,1,-3.544345594,-2.534738644,-2.378200344,-2.669930813
35,Holdemania,Holdemania,1,0.053752511,-0.390523755,-0.038715397,-0.694358246
36,Lactococcus,Lactococcus,1,-1.242197199,-0.729094301,-0.953230965,-0.535521727
37,Megamonas,Megamonas,1,2.702311,2.554222274,2.572456374,2.538474642
38,Megasphaera,Megasphaera,1,-0.849419485,-0.313052805,-0.587957977,-0.075634702
39,Methanosphaera,Methanosphaera,1,0.997999804,1.093240246,1.19122201,1.008619631
40,Oscillibacter,Oscillibacter,1,2.753682763,2.940624185,2.965214605,2.919387005
41,Parabacteroides,Parabacteroides,1,0.715645876,0.259073133,0.778852542,-0.189827266
42,Paraprevotella,Paraprevotella,1,0.696266215,0.530922868,0.532084733,0.52991944
43,Parasutterella,Parasutterella,1,-1.274756289,-1.588533454,-1.799106806,-1.40667465
44,Propionibacterium,Propionibacterium,1,-2.242252726,-2.291258695,-2.301018245,-2.282829994
45,Proteus,Proteus,1,0.113259678,0.342838869,0.378951006,0.311651115
46,Roseburia,Roseburia,1,-2.381885192,-1.389827254,-1.008711588,-1.718972602
47,Rothia,Rothia,1,-4.208625252,-3.504471073,-3.737474041,-3.303241237
48,Streptococcus,Streptococcus,1,1.35401051,1.620043791,1.547567235,1.68263718
49,Subdoligranulum,Subdoligranulum,1,2.162097251,2.071649646,1.920600807,2.202100916
50,Sutterella,Sutterella,1,-1.691010119,-1.959933399,-1.563169125,-2.302593454
51,Turicibacter,Turicibacter,1,-2.256897032,-2.336790907,-2.152181485,-2.496226316
