,Methanobrevibacter_smithii,Methanosphaera_stadtmanae,Rothia_mucilaginosa,Propionibacterium_freudenreichii,Bifidobacterium_animalis,Bifidobacterium_bifidum,Bifidobacterium_breve,Bifidobacterium_catenulatum,Bifidobacterium_dentium,Bifidobacterium_pseudocatenulatum,Collinsella_intestinalis,Collinsella_unclassified,Eggerthella_sp_1_3_56FAA,Slackia_piriformis,Bacteroides_cellulosilyticus,Bacteroides_eggerthii,Bacteroides_faecis,Bacteroides_finegoldii,Bacteroides_fragilis,Bacteroides_intestinalis,Bacteroides_massiliensis,Bacteroides_salyersiae,Bacteroides_sp_2_1_22,Bacteroides_stercoris,Bacteroidales_bacterium_ph8,Barnesiella_intestinihominis,Odoribacter_laneus,Odoribacter_splanchnicus,Parabacteroides_goldsteinii,Parabacteroides_unclassified,Paraprevotella_clara,Paraprevotella_unclassified,Prevotella_copri,Alistipes_finegoldii,Alistipes_indistinctus,Alistipes_senegalensis,Alistipes_shahii,Alistipes_sp_AP11,Alistipes_sp_HGB5,Alistipes_unclassified,Enterococcus_avium,Enterococcus_faecalis,Enterococcus_faecium,Lactobacillus_acidophilus,Lactobacillus_casei_paracasei,Lactobacillus_fermentum,Lactobacillus_gasseri,Lactobacillus_plantarum,Lactobacillus_rhamnosus,Lactobacillus_salivarius,Pediococcus_acidilactici,Pediococcus_lolii,Pediococcus_unclassified,Leuconostoc_citreum,Lactococcus_lactis,Streptococcus_australis,Streptococcus_lutetiensis,Streptococcus_mutans,Streptococcus_sanguinis,Butyricicoccus_pullicaecorum,Clostridiaceae_bacterium_JC118,Clostridium_asparagiforme,Clostridium_butyricum,Clostridium_clostridioforme,Clostridium_hathewayi,Clostridium_nexile,Clostridium_perfringens,Clostridium_scindens,Clostridium_sp_KLE_1755,Clostridium_sp_L2_50,Clostridium_symbiosum,Clostridiales_bacterium_1_7_47FAA,Eubacterium_siraeum,Eubacterium_sp_3_1_31,Eubacterium_ventriosum,Anaerostipes_caccae,Anaerostipes_unclassified,Blautia_hansenii,Blautia_hydrogenotrophica,Blautia_producta,Coprococcus_catus,Coprococcus_sp_ART55_1,Dorea_unclassified,Lachnospiraceae_bacterium_1_4_56FAA,Lachnospiraceae_bacterium_2_1_58FAA,Lachnospiraceae_bacterium_3_1_57FAA_CT1,Lachnospiraceae_bacterium_4_1_37FAA,Lachnospiraceae_bacterium_5_1_57FAA,Lachnospiraceae_bacterium_6_1_63FAA,Lachnospiraceae_bacterium_8_1_57FAA,Lachnospiraceae_bacterium_9_1_43BFAA,Roseburia_unclassified,Oscillibacter_sp_KLE_1728,Oscillibacter_sp_KLE_1745,Clostridium_difficile,Anaerotruncus_colihominis,Anaerotruncus_unclassified,Ruminococcaceae_bacterium_D16,Ruminococcus_callidus,Ruminococcus_lactaris,Subdoligranulum_sp_4_3_54A2FAA,Catenibacterium_mitsuokai,Clostridium_ramosum,Clostridium_spiroforme,Erysipelotrichaceae_bacterium_21_3,Erysipelotrichaceae_bacterium_2_2_44A,Erysipelotrichaceae_bacterium_3_1_53,Erysipelotrichaceae_bacterium_5_2_54FAA,Erysipelotrichaceae_bacterium_6_1_45,Eubacterium_biforme,Eubacterium_cylindroides,Eubacterium_dolichum,Holdemania_filiformis,Holdemania_unclassified,Turicibacter_unclassified,Acidaminococcus_intestini,Acidaminococcus_unclassified,Phascolarctobacterium_succinatutens,Megamonas_hypermegale,Megamonas_unclassified,Megasphaera_micronuciformis,Megasphaera_unclassified,Veillonella_atypica,Veillonella_dispar,Fusobacterium_nucleatum,Burkholderiales_bacterium_1_1_47,Parasutterella_excrementihominis,Sutterella_wadsworthensis,Bilophila_wadsworthia,Desulfovibrio_piger,Citrobacter_unclassified,Enterobacter_cloacae,Klebsiella_oxytoca,Klebsiella_pneumoniae,Klebsiella_unclassified,Proteus_mirabilis,Haemophilus_parainfluenzae,Methanobrevibacter_unclassified,Collinsella_stercoris,Bacteroides_clarus,Bacteroides_plebeius,Lactobacillus_delbrueckii,Lactobacillus_sakei
PRISM|7122,-0.451941428,2.077370075,-3.956005437,-1.491309285,-3.814546861,-3.412781511,-3.068438672,-1.775229677,-0.563248604,0.931831506,-4.422984334,-1.777683051,3.320967334,1.01423736,-3.765581928,-3.584882041,-5.354989781,-4.844164157,-4.892987964,-3.196719763,-2.154662761,-0.483592635,3.530596884,-1.378288328,-4.312125635,-3.025559991,1.231036193,3.235139777,-1.30451863,-2.08652853,0.171312937,0.668519938,-3.208167444,-2.648554752,-0.946280956,-2.824670268,-4.660188698,2.974377975,2.853774639,-3.0505385,-0.314780713,-4.50769192,1.466561859,0.013678351,-1.907306026,-2.421491199,2.145883934,-4.312125635,-4.556515727,-2.378444728,-2.71963433,-1.922096409,-1.481966265,-0.019655658,1.158069787,-2.032788493,1.30708378,-2.101844262,-1.530592465,-2.520806663,-1.920344862,6.821257396,-2.280314342,3.326856429,6.336698097,4.648422317,-2.906100598,3.309976876,7.559485729,3.456701816,6.708926169,6.117357131,-3.362559616,5.706422348,-3.6598724,0.743214938,6.842698022,-2.503076871,7.25012649,5.292214014,0.933012144,4.665965163,-2.80324652,7.278367206,0.841949779,4.654010776,3.907415391,4.666215208,-0.78472994,5.689596786,2.784802757,-2.669412435,3.469082875,2.136630903,1.048143557,4.997689573,-0.548353463,-3.441644931,-1.958559458,-3.719187447,2.771661684,2.627409759,5.432440091,2.601363019,0.059457498,2.583315235,4.595768315,-1.826442492,-2.583308215,-3.318107853,-1.002406992,-0.73562986,4.485031382,4.225035411,-2.132978024,-3.245374632,-3.591401188,-0.980494318,2.860714221,2.962145008,-3.696369305,-0.206376495,1.310884461,-2.76853177,-1.478477757,-1.505291832,-1.573684906,-2.424501486,-2.278288969,-0.636690925,2.850565268,-3.508228158,-3.850912384,-1.797366022,-2.439786973,1.269857515,-0.535833892,1.440969823,1.890836559,1.437169278,2.353913394,-0.282662363,1.089241671
PRISM|7147,-0.124574981,2.016352321,-0.83877557,-1.554209569,-2.491698595,-1.000043718,-3.131338956,-1.838129961,-0.626148888,0.868931222,-4.485884618,-1.840583335,3.259949579,0.951337076,4.964852239,-3.647782325,-0.270082564,-4.907064441,6.045917946,-3.259620047,-0.728110003,-0.546492919,3.469579129,7.721625872,-4.375025919,-3.088460275,1.168135909,4.535221481,-1.367418914,3.482535015,0.108412653,0.605619654,0.360932835,-1.45024472,-1.00918124,-1.91633445,1.769415111,2.91336022,2.792756884,-3.113438784,-0.377680997,-4.570592204,-2.396801786,-0.049221933,-1.97020631,-0.916162234,-3.388145843,-4.375025919,-4.619416011,-2.441345012,-2.782534614,-1.984996693,-1.544866549,-0.082555942,-1.480510138,1.369031116,1.244183496,0.920548623,-0.252171638,-2.583706946,0.648614908,1.419212682,-2.343214626,-2.32288739,0.662934961,-0.522257948,-2.969000882,-3.609588094,3.442794173,8.041121799,1.576378041,-2.147103544,3.455756011,3.701799355,5.04960129,-2.454452296,-3.173746053,-2.565977155,5.348767422,2.108459049,4.452602884,4.603064879,-2.866146804,3.096797724,2.640498594,-1.308442318,-3.877447145,-2.545137393,-3.786684754,4.399532012,-4.01890572,-2.732312719,3.40806512,2.073730619,0.985243273,-2.805494861,-0.611253747,5.308214091,7.479099674,6.403443851,2.7087614,2.566392004,-2.579038945,2.540345264,0.711499417,0.170889232,-2.804126044,1.110169482,-2.646208498,-3.381008137,-1.065307276,-0.798530144,2.99563086,1.164715058,4.34730188,-3.308274916,-1.051337012,-1.043394602,2.799696466,2.899244724,-3.759269589,-0.269276779,-0.200286802,-2.831432054,-1.541378041,4.591176444,5.563847069,-2.48740177,-2.341189253,-0.699591209,-2.228272911,-3.571128442,-3.913812668,-1.860266306,0.443929755,1.206957232,0.216351606,1.378069539,1.829818804,1.374268994,2.29289564,-0.345562647,1.026341387
PRISM|7150,-0.523236501,2.008909231,-4.02730051,4.15272762,-0.367181204,0.080988941,-1.858254517,1.852477446,-0.634543677,5.351412507,-4.494279407,-1.848978124,3.25250649,0.942942287,-1.37095939,-3.656177114,-1.328995191,-0.857280697,6.505473032,-3.268014836,-0.0473006,-0.554887708,3.462136039,1.011228753,-2.185467428,-1.576403364,1.15974112,3.163844704,-1.375813703,-2.157823603,0.100017864,0.597224865,0.683164344,8.298919326,-1.017576029,-2.895965341,-1.541917188,2.905917131,2.785313795,7.964909184,-0.386075786,-4.578986993,-2.405196575,-0.057616722,-1.978601099,-2.492786271,-3.396540632,-4.383420708,2.29003486,-2.449739801,-2.790929403,-1.993391482,-1.553261338,-0.090950731,1.190687818,-2.104083566,1.235788707,4.25553056,1.468119073,-2.592101736,-1.991639935,1.115137028,-2.351609415,0.266649399,3.928642865,5.510481247,-2.977395671,0.968095383,3.823821194,3.388240972,4.527527968,1.25680998,0.683164344,-1.905517606,-0.432068826,2.02689909,-3.182140842,-2.574371944,6.892469026,2.892524992,0.861717071,4.59467009,-2.874541593,0.819895739,-0.729105504,-1.316837107,-3.885841934,1.520205704,-3.795079543,-0.56013593,-4.02730051,-2.740707508,3.400622031,2.06533583,0.976848484,4.585026007,1.762669734,0.158197691,-2.029854531,-1.835264998,4.650549278,2.558948915,-2.587433734,2.532902174,1.775038475,1.532030832,0.307471394,-1.897737565,1.177369086,-3.389402926,-1.073702065,-0.806924933,3.150673895,3.314209546,1.270136676,-3.316669705,-0.326149808,-1.051789391,2.792253377,2.890849935,-3.767664378,-0.277671568,-2.804812116,-2.839826843,-1.54977283,-1.576586905,-1.644979979,-2.495796559,-2.349584042,-0.707985998,-2.2366677,-3.579523231,-3.922207457,-0.094001693,-2.511082046,1.198562442,-4.544604127,1.36967475,1.822375715,1.365874205,2.28545255,-0.353957436,1.017946598
PRISM|7153,-0.267205544,2.262979632,-3.771269553,-1.306573401,-3.629810978,-3.228045627,-2.883702788,-1.590493794,-0.37851272,1.11656739,-4.238248451,-1.592947167,6.123031787,1.198973244,-3.580846045,-3.400146157,-5.170253897,-4.659428273,9.065782175,-3.011983879,-1.969926878,-0.298856751,3.716206441,-1.193552444,-4.127389751,-2.840824107,1.415772076,3.419875661,-1.119782747,-1.901792647,0.356048821,0.853255822,-3.02343156,-2.463818868,-0.761545072,-2.639934384,-4.475452815,3.159987532,3.039384196,-2.865802616,-0.130044829,-4.322956037,0.938929303,0.198414234,-1.722570142,-2.236755315,-3.140509676,-4.127389751,-4.371779843,-2.193708845,-2.534898447,-1.737360526,-1.297230381,0.165080225,-1.23287397,-0.185243483,1.491819663,-1.917108378,-0.331336102,-2.336070779,3.37232126,4.089262808,-2.095578458,6.118335237,4.688841534,4.381528952,-2.721364714,1.210712789,3.69043034,3.642311373,4.394459519,3.431952243,-3.177823732,1.953107904,6.515762252,-2.206816128,-2.926109885,2.003313651,-1.86328975,2.372209587,1.117748027,4.850701047,-2.618510636,3.006869627,-2.098182287,-1.06080615,5.010406609,3.347379516,2.591583817,-0.304104973,3.746772499,-2.484676552,3.654692432,5.736803345,1.232879441,-2.557858693,-0.36361758,0.689415865,-1.773823574,-3.534451563,2.956397568,2.813019316,3.92499354,2.786972576,2.404052337,-2.203239548,-2.556489877,5.916619837,-2.398572331,-3.13337197,-0.817671108,6.14109702,4.218273864,-1.782853308,-1.94824214,-3.060638749,1.302520338,-0.795758434,3.046323778,3.146880892,-3.511633421,-0.021640611,-2.548781159,-2.583795887,-1.293741874,5.519186031,3.966025737,-2.239765603,-2.093553085,-0.451955041,-1.980636743,-3.323492275,-3.6661765,-1.612630138,-2.255051089,1.454593399,0.267623864,1.625705706,2.076446116,1.621905162,2.539522952,-0.097926479,1.273977555
PRISM|7184,-0.430989593,2.097472817,-3.935053602,-1.47035745,-3.793595027,-3.391829677,-3.047486837,-1.754277843,-0.542296769,0.95278334,-4.4020325,-1.756731216,3.341070076,1.035189194,-3.744630094,-3.563930207,-5.334037946,-4.823212323,5.960943395,-3.175767929,-2.133710927,-0.462640801,3.550699625,-0.96808402,-4.2911738,-3.004608156,1.251988027,3.256091612,-1.283566796,-2.065576696,0.192264772,0.689471772,-3.18721561,-2.627602917,-0.925329121,-2.803718434,-4.639236864,2.994480717,2.873877381,-3.029586665,-0.293828879,0.699622801,1.712937509,0.034630185,-1.886354192,-2.400539364,1.868066184,-4.2911738,-4.535563893,-2.357492894,-2.698682496,-1.901144575,-1.46101443,4.885410728,-1.396658019,2.252789808,1.328035614,-2.080892427,-1.50964063,-2.499854828,-1.899393027,-2.864958228,-2.259362508,7.813548206,4.481880897,-2.663717382,-2.885148764,4.328231344,6.582971468,3.476804558,7.33393379,4.038208525,-3.341607782,0.043516892,-3.638920566,-2.370600178,4.362942521,-2.482125036,-2.027073799,5.490724373,0.953963978,4.686916998,-2.782294686,6.861387248,2.705681797,-1.224590199,-3.793595027,6.667074929,-3.702832636,-0.467889022,-3.935053602,-2.648460601,3.489185617,2.157582737,1.069095391,5.486878667,5.202467693,6.881512772,-1.937607624,-3.698235612,6.742143586,2.647512501,2.421378106,2.62146576,3.039249166,2.939930964,-2.720273926,2.864895779,3.315502542,-3.297156019,-0.981455158,2.481903526,-1.931518132,-1.946637357,-2.112026189,-3.224422798,2.286158949,-0.959542484,2.880816963,2.983096842,-3.675417471,-0.185424661,4.487450748,-2.747579936,-1.457525923,-1.484339997,-1.552733072,5.979997131,5.321724311,-0.61573909,-2.144420793,-3.487276324,-3.82996055,-1.776414187,-2.418835139,1.29080935,1.623432365,1.461921657,1.910939301,1.458121112,2.374016136,-0.261710529,1.110193506
PRISM|7238,-0.198063324,2.33447985,-3.702127333,-1.237431181,-3.560668758,-3.158903407,-2.814560568,-1.521351574,-0.3093705,1.18570961,-4.169106231,-1.523804947,3.578077108,1.268115464,-3.511703825,-3.331003938,-5.101111677,-4.590286053,-4.63910986,-2.94284166,-1.900784658,-0.229714531,3.787706658,-1.124410224,-4.058247531,-2.771681887,1.484914296,3.489017881,-1.050640527,7.896971432,0.425191041,0.922398042,-2.95428934,-2.394676648,-0.692402852,-2.570792165,-4.406310595,3.231487749,3.110884414,-2.796660396,-0.060902609,3.589706556,2.764986989,0.267556454,4.420380695,3.197059303,2.393582886,3.718667913,4.452534301,4.402668261,8.23839241,8.436496243,6.336685756,3.653108501,3.668027082,-1.778910389,1.560961883,4.695579324,-1.276714361,-2.266928559,-1.666466758,-2.632031959,-2.026436238,0.485615433,-2.878617792,-2.430791113,-2.652222494,-3.292809707,3.75957256,3.71381159,-2.059448672,-1.830325156,-3.108681512,-1.580344429,-3.405994297,-2.137673908,-2.856967665,4.378244793,-1.79414753,4.87336222,1.186890247,4.919843267,2.734668258,-2.913059726,6.478735832,-0.99166393,-0.356972103,-2.228359006,-3.469906367,-0.234962753,3.087570403,1.75722041,3.72619265,2.390509007,1.30202166,-2.488716473,-0.29447536,-3.187766828,-1.704681355,-3.465309343,3.025539787,2.884519533,2.785931665,2.858472793,3.805092591,5.031588802,-2.487347657,-1.572564389,-2.329430111,-3.06422975,-0.748528888,-0.481751756,-1.698591863,-1.713711088,-1.87909992,-2.991496529,-0.755879811,-0.726616215,3.117823996,3.216023111,-3.442491201,2.160299831,0.424282345,-2.514653667,0.527230314,-1.251413728,-1.319806803,-2.170623383,-2.024410865,-0.382812821,-1.911494524,-3.254350055,-3.59703428,-1.543487918,-2.185908869,1.523735619,-1.743266464,1.694847926,2.147946334,1.691047381,2.611023169,-0.02878426,1.343119775
PRISM|7406,0.306200593,2.837591443,3.940577076,-0.733167264,-2.67184791,-2.65463949,-2.310296651,-1.017087656,0.194893417,1.689973527,-3.664842313,-1.019541029,4.081188702,1.772379381,-0.074463277,-2.82674002,-0.746557048,-1.216560678,-4.134845943,-2.438577742,-0.592406368,0.274549386,4.290818251,1.637991983,-3.553983614,-2.26741797,1.989178214,3.993281799,-0.546376609,-1.328386509,0.929454958,1.426661959,1.319778146,-1.89041273,-0.188138934,-2.066528247,-3.902046677,3.734599343,3.613996007,-2.292396479,0.443361308,6.824820046,6.938217317,0.771820372,-1.149164005,-1.663349177,-2.567103538,-3.553983614,-3.798373706,0.569627747,-1.961492309,-1.163954388,-0.723824244,0.738486363,4.527617034,-1.274646472,8.826227842,3.244354152,3.179533214,-1.762664641,-1.162202841,-2.127768041,-1.522172321,-1.501845085,-2.374353874,9.461208475,-2.147958577,-2.788545789,4.263836478,4.216923184,-1.555184754,-1.326061239,-0.647466146,-1.076080512,-2.901730379,-1.633409991,-2.352703748,-1.74493485,-1.289883613,-2.185123251,1.691154165,5.424107184,1.353503781,-2.408795809,-1.52477615,-0.487400013,-2.67184791,-1.724095088,-2.965642449,0.269301165,-3.197863415,0.500235753,4.229304243,2.894772924,1.806285578,-1.984452556,0.209788558,-2.68350291,-1.200417437,0.242054345,3.529803705,3.387631127,-1.75799664,3.361584386,-2.630832852,-1.629833411,-1.983083739,-1.068300471,-1.825166193,-2.559965832,-0.244264971,0.022512161,-1.194327945,-1.209447171,-1.374836003,-2.487232611,-0.095969482,-0.222352297,3.620935589,3.720287029,0.512140656,0.551765526,2.102462096,5.589088045,-0.720335736,-0.747149811,-0.815542885,-1.666359465,-1.520146948,0.121451096,-1.407230606,-2.750086137,-3.092770363,-1.039224001,1.009863054,2.027999537,-3.715167033,2.199111844,2.651057927,2.195311299,3.114134762,0.475479658,1.847383692
PRISM|7408,-0.963778113,1.567489951,0.518642354,-2.00314597,-1.481810776,-1.072135135,-3.580275357,-2.287066363,-1.075085289,0.419994821,-4.93482102,-2.289519736,2.811087209,0.502400675,3.400703418,-4.096718727,-1.030977063,-1.030977063,4.170056403,4.851603744,7.9628169,5.039443994,3.020716759,0.599211794,-4.82396232,-3.537396676,0.719199507,5.043831189,-1.816355316,-2.598365216,3.982664461,4.969379286,0.744521886,4.239662393,-1.458117641,-3.336506954,-5.172025384,2.46449785,2.343894514,-3.562375185,-0.826617398,-5.019528606,-2.845738187,-0.498158335,-2.419142711,5.950845289,6.196445287,-4.82396232,0.625713735,5.92141229,-3.231471016,-2.433933095,-0.494672354,-0.531492344,-1.929446539,-2.544625178,0.795247094,5.366369172,0.605511027,2.286137202,2.846254117,2.995957476,-2.792151027,3.740459056,1.619535146,-2.324898104,4.860266071,-2.417271424,2.993857771,2.946821691,4.143667985,2.223079066,-0.745313154,-2.346059218,-4.171709086,-2.903388697,-0.137525823,3.089894254,-2.559862319,3.015040938,4.12844895,4.154128478,0.838340641,4.344039961,5.059547954,0.480243222,2.432235498,0.686881195,4.662076014,-1.000677542,5.342755501,-3.181249121,2.95920275,3.928421528,0.536306871,-3.254431262,-1.060190149,-1.197298278,-2.470396144,-2.673204798,3.282416659,2.117529634,1.988660732,2.091482894,-3.900811558,-0.924004943,-3.253062446,-2.338279178,2.31382063,-3.829944539,-1.514243677,3.450566434,-2.464306652,-2.479425877,-2.644814709,-3.757211318,-1.047237584,-1.492331004,2.350834096,2.450308323,-4.20820599,-0.71821318,-2.855526355,-3.280368456,-1.990314443,-2.017128517,-2.085521592,-2.936338172,-2.790125654,-1.14852761,-2.677209313,-4.020064844,-4.362749069,-2.309202707,0.203180718,0.75802083,-4.98514574,0.929133137,1.380956434,0.925332592,1.84403327,-0.794499049,0.577404986
PRISM|7421,-0.97200644,1.555767049,3.66731932,-2.011374297,-4.334611873,-3.932846523,-3.588503684,-2.295294689,4.081753098,0.411766494,-4.943049346,-2.297748063,2.799364308,0.494172348,-4.28564694,2.891713388,-5.875054793,-5.364229169,-5.413052976,-3.716784775,-2.674727773,-1.003657647,3.008993858,-1.89835334,-4.832190647,-3.545625003,0.710971181,2.715074766,-1.824583642,3.373181447,-0.348752075,0.148454926,-3.728232456,-3.168619764,-1.466345968,-3.34473528,-5.18025371,2.452774949,2.332171613,-3.570603512,-0.834845725,-5.027756932,1.469129025,-0.506386661,-2.427371038,2.590664954,2.981864485,-4.832190647,-5.076580739,-2.89850974,1.201533711,-2.442161421,2.9527079,4.694246202,4.578189984,3.471783424,0.787018768,4.075355123,4.783156915,4.033409263,4.132727464,4.726556443,-2.800379354,5.22485412,6.154716431,7.372356148,-3.42616561,3.039554898,2.985629445,2.93509879,3.075082614,3.825872868,-3.882624628,5.859166962,-4.179937412,-2.911617024,-3.630910781,3.300666466,-2.568090646,5.869358543,0.412947132,4.145900151,-3.323311532,7.289057125,-2.802983183,-1.765607046,1.883252196,4.212490412,4.938120492,-1.008905869,-4.476070448,-3.189477447,2.947479849,1.616565891,0.528078545,3.187226354,3.235942227,-3.961709943,-2.47862447,-4.239252458,2.251596672,2.105806733,2.828990129,2.079759993,2.735464071,2.257586386,-3.261290772,4.327596237,-3.103373227,-3.838172865,-1.522472004,4.022641998,4.657635284,2.752475417,-2.653043036,-3.765439644,2.590664954,-1.50055933,2.339111195,2.442079996,-4.216434317,-0.726441507,2.972239771,1.298907875,-1.998542769,-2.025356844,-2.093749918,-2.944566498,-2.798353981,-1.156755937,-2.685437639,-4.02829317,-4.370977396,-2.317431034,-2.959851985,5.167312885,1.477787088,0.920904811,1.369233533,0.917104266,1.832310369,-0.802727375,0.569176659
PRISM|7445,-0.466671012,2.063390356,-3.970735021,-1.506038869,-3.829276446,-3.427511096,-3.083168256,-1.789959262,-0.577978188,0.917101921,-4.437713919,-1.792412635,3.306987614,0.999507775,-3.780311513,3.217490188,-5.369719365,-4.858893742,-4.907717548,-3.211449348,-2.169392346,-0.49832222,3.516617164,2.191404343,-4.32685522,-3.040289576,1.216306608,3.220410193,-1.319248215,-2.101258115,0.156583353,0.653790353,-3.222897029,-2.663284336,-0.96101054,-2.839399853,-4.674918283,2.960398255,2.839794919,-3.065268084,-0.329510298,3.35305905,7.210471071,-0.001051234,-1.922035611,5.067137586,4.707145002,4.022008545,-4.571245312,2.986782146,-2.734363915,-1.936825994,-1.496695849,-0.034385243,4.567529566,-2.047518078,1.292354195,0.35708526,-1.545322049,-2.535536247,-1.935074447,-2.900639647,-2.295043927,7.554191507,-3.14722548,-2.699398802,-2.920830183,5.285108795,3.490964872,3.442722096,-2.32805636,-2.098932844,-3.377289201,-1.848952117,-3.674601985,-2.406281597,-3.125575354,6.138946419,-2.062755218,-2.957994857,0.918282559,4.651235578,-2.817976105,6.419836342,5.508112417,-1.260271618,1.583981704,6.968632692,3.716017039,-0.503570441,6.616823739,3.385373575,3.455103155,2.121901318,1.033413972,-2.757324162,-0.563083048,-3.456374516,-1.973289043,-3.733917031,2.756932099,2.613430039,7.711960531,2.587383299,4.83617723,-2.402705016,-2.755955345,-1.841172077,3.702146722,-3.332837438,-1.017136577,-0.750359445,-1.967199551,-1.982318777,-2.147707608,-3.260104217,4.063681241,-0.995223903,2.846734501,2.947415423,-3.71109889,-0.22110608,4.403520912,-2.783261355,-1.493207342,4.332649913,5.794387119,-2.439231071,-2.293018553,-0.651420509,-2.180102212,-3.522957743,3.400687099,-1.812095607,3.96917757,1.255127931,-0.727138292,1.426240238,1.876856839,1.422439693,2.339933675,-0.297391948,1.074512086
