,Acidaminococcus,Alistipes,Anaerostipes,Anaerotruncus,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Butyricicoccus,Catenibacterium,Citrobacter,Clostridium,Collinsella,Coprococcus,Desulfovibrio,Dorea,Eggerthella,Enterobacter,Enterococcus,Eubacterium,Fusobacterium,Haemophilus,Holdemania,Klebsiella,Lactobacillus,Lactococcus,Leuconostoc,Megamonas,Megasphaera,Methanobrevibacter,Methanosphaera,Odoribacter,Oscillibacter,Parabacteroides,Paraprevotella,Parasutterella,Pediococcus,Phascolarctobacterium,Prevotella,Propionibacterium,Proteus,Roseburia,Rothia,Ruminococcus,Slackia,Streptococcus,Subdoligranulum,Sutterella,Turicibacter,Veillonella
PRISM|7122,-3.657526921,2.677313046,5.897760625,4.054405936,2.964636077,-3.972738901,0.270533231,-3.225467879,6.435037455,-3.467985573,1.680230848,1.903386358,7.498986329,0.97061629,3.742426691,-1.583869835,-3.750425431,2.373788423,-4.455407069,0.677202851,4.762372923,-2.425656668,-1.483012803,4.109427712,-2.241169035,1.666049741,0.210890876,-0.966834569,2.658683359,-1.123510225,0.634102825,1.130191165,2.414400602,2.756050413,-1.874984791,0.196473399,-2.520863817,-1.769548346,-1.927673229,-4.155346354,-2.438488195,0.322678605,-3.616591346,-4.903184347,-2.747080556,0.06705845,0.479534832,1.824482773,-3.371680397,-3.080156934,0.380481385
PRISM|7147,-2.154667765,2.52046572,-3.260504833,-1.708472343,6.759254534,-4.291338133,0.070363861,-3.544067111,4.184645878,-3.786584805,1.363514146,-3.431150769,6.856899531,0.653849561,4.02093039,-1.902469067,-4.069024662,2.057071721,-4.774006301,-1.442646968,4.230806043,-2.7442559,-0.986526252,1.941402918,-0.652206871,0.432884341,-2.683387996,-1.285433801,2.340978138,-1.442109457,0.376123052,0.813474462,3.366252183,2.438941018,2.28745541,-0.122125833,4.36096921,-2.088147578,-2.24627246,-0.841945023,-2.757087427,0.004079373,-3.935190578,-2.041653429,6.5696926,-0.251540782,1.166376487,1.505883542,-3.690279629,3.144424021,-1.333642365
PRISM|7150,-1.339594374,7.781537171,0.969867564,3.580307137,5.516520987,-2.638886921,4.329983106,-3.412067598,5.848212385,-3.654585292,1.496465358,-3.299151256,5.128827473,0.786775518,3.555826973,-1.770469554,-3.937025149,2.190022933,-4.642006788,-1.310647455,0.218378607,-2.612256386,-5.607087684,2.866444615,-1.05128755,1.621406043,0.128204262,-1.153434288,2.473429949,-1.310109944,0.447503107,0.946425675,2.227800883,2.57169393,-2.06158451,0.009873681,-2.707463535,-1.956148065,-2.114272947,-0.379319213,3.090244063,0.136078886,-3.803191065,-5.089784066,-2.297170453,-0.119541269,3.299318939,3.588065722,-3.558280116,0.20765312,-3.191502609
PRISM|7153,0.448914001,2.94382415,-2.676254781,-1.12422229,8.206447014,-3.707088081,0.536184052,-2.959817058,2.040079448,-3.202334752,1.946755342,-2.846900717,5.974918196,1.237117555,4.008077512,-1.318219014,-3.48477461,5.256767813,-4.189756248,0.371692377,6.179381082,-2.160005847,-0.598640109,3.35448279,-1.975518214,0.953460001,-2.099137943,-0.701183748,2.924748977,-0.857859404,0.899753646,1.396715659,2.680051423,4.988026162,-1.60933397,0.46212422,3.099761763,-1.503897526,-1.662022408,-3.889695534,-2.172837374,0.588329426,-3.350940525,-4.637533526,-2.481429736,0.33270927,0.948735699,2.090133594,-3.106029576,-2.814506113,-2.73925207
PRISM|7184,0.963858565,2.318271738,3.037796138,4.72156168,4.758391375,-4.330944141,-0.087672008,3.995388327,4.165276017,-3.826190813,1.321176516,-3.470756777,7.181363164,0.611584552,3.384221452,-1.942075075,-4.10863067,2.014734091,-4.813612308,0.790356065,1.275012692,-2.783861907,0.297096381,-2.572237975,-2.599374274,1.131288292,-2.722994004,3.559074744,2.300075176,-1.481715464,0.275897586,0.771136833,2.056195362,2.397173392,-2.23319003,-0.16173184,-2.879069056,-2.127753586,-2.285878468,-4.513551594,-2.796693435,-0.035526635,-3.974796585,-5.261389587,-3.105285796,-0.29114679,1.286206715,5.415807602,4.653661147,-3.438362174,3.161835389
PRISM|7238,-1.995732701,2.540112415,-3.082288432,-1.530255941,2.827141585,-4.113121732,0.130150401,-3.365850709,4.008635255,-3.608368403,1.543079689,-3.252934368,3.47459621,0.833379308,3.602043861,-1.724252665,1.393228413,2.236637264,-4.595789899,2.629666701,-0.989945347,-0.81420953,-3.084706309,-2.354415566,-2.381551865,4.467821037,2.326587238,2.311668656,2.519835789,0.822540762,0.493719995,0.993040006,2.274017772,2.618225491,6.555661627,0.056090569,-2.661246647,7.759168262,-2.068056059,-4.295729185,-2.578871025,0.182295775,0.415780566,-5.043567177,-2.887463387,-0.073324381,3.400648065,1.684099943,-3.512063227,-3.220539764,-0.865588336
PRISM|7406,-1.640404659,2.75268056,-2.868585586,-1.316553095,3.099152267,-3.899418885,0.346908119,-3.152147863,-2.207501849,-3.394665557,1.755630211,-3.039231522,7.842736258,1.045960401,3.815746707,-1.510549819,-0.278497135,2.449187786,-4.382087053,5.945069527,-0.601459629,-2.352336652,-5.347167949,-2.140712719,-0.486400026,0.895124995,2.895616118,-0.893514553,2.732990905,-0.406704391,0.707422841,1.205590528,2.487720618,2.831016061,-1.801664775,0.269793415,-2.447543801,-1.696228331,-1.854353213,-0.31222277,-2.365168179,0.395998621,-1.131765163,2.30857616,-1.177788865,0.140378465,7.20153586,1.897802789,-3.298360381,-3.006836918,3.987232126
PRISM|7408,-1.584367054,3.918783379,-0.678052187,-1.556078765,7.494384709,-4.138944555,0.339301646,-3.391673533,3.146590444,1.684589323,1.515981755,-3.278757191,5.15303278,0.806315205,4.232970443,-1.750075489,0.236792762,2.20953933,-4.621612722,-1.29025339,2.874932681,-2.591862321,-5.586693618,-2.380238389,-0.310837189,6.53160756,-2.530994418,-1.133040222,2.493406892,-1.289715879,0.467897172,0.965942072,4.455434874,3.648507266,-2.041190444,4.684683415,-2.68706947,-0.906767816,-2.093878882,0.142974007,-2.604693849,0.156472951,-3.782797,-0.082905524,-2.475068537,-0.099147204,4.78390925,2.68086878,-3.537886051,-3.246362588,-2.95395441
PRISM|7421,1.289165513,1.799678478,-3.818025755,2.601794044,2.561378108,-4.848859055,2.806324138,-4.101588033,4.640166754,2.73017521,0.802572681,-3.988671691,6.508311,0.092999062,2.866306538,-2.459989989,-4.626545584,1.496130256,-5.331527222,0.26244916,4.704488029,-3.301776821,0.174553036,3.493118153,-3.117289188,2.281350071,3.274955932,3.39101215,1.781833461,-1.999630379,-0.242017328,0.252532997,1.538280448,1.878713508,2.075461074,-0.679646754,-3.39698397,1.813385166,-2.803793382,-5.031466508,-3.314608349,3.864078833,-4.492711499,2.364085268,-3.62320071,-0.809061704,4.056852102,0.94836262,-4.24780055,-3.956277088,1.840957773
PRISM|7445,2.945763633,2.491923693,-3.128033326,-1.576000836,3.299409992,-4.158866626,0.084405506,-3.411595604,5.020755488,-3.654113298,1.494852988,-3.298679263,7.275687576,0.785218492,3.556298967,-1.76999756,-3.936553155,2.188410563,-4.641534794,6.113316904,-1.035690241,-2.611784393,-1.845715342,-2.40016046,3.301335027,4.739118151,3.448952516,-1.152962294,2.472911638,-1.30963795,0.4479751,0.944813305,2.228272877,2.570516062,-2.061112516,0.010345674,4.675810068,-1.955676071,-2.113800954,-4.341474079,-2.62461592,0.13655088,2.266796524,-5.089312072,-2.933208281,-0.119069275,0.570190323,1.638355048,-3.557808122,-3.266284659,3.285700094
